Anio,EntidadFederativa,Poblacion_Total,Poblacion_Hombres,Poblacion_Mujeres
1990,Aguascalientes,719659,350218,369441
1990,Baja California,1660855,832090,828765
1990,Baja California Sur,317764,161833,155931
1990,Campeche,535185,268772,266413
1990,Chiapas,3210496,1604773,1605723
1990,Chihuahua,2441873,1213302,1228571
1990,Ciudad de México,8235744,3939911,4295833
1990,Coahuila de Zaragoza,1972340,979097,993243
1990,Colima,428510,212543,215967
1990,Durango,1349378,664766,684612
1990,Estados Unidos Mexicanos,81249645,39893969,41355676
1990,Guanajuato,3982593,1926735,2055858
1990,Guerrero,2620637,1282220,1338417
1990,Hidalgo,1888366,929138,959228
1990,Jalisco,5302689,2564892,2737797
1990,México,9815795,4834549,4981246
1990,Michoacán de Ocampo,3548199,1718763,1829436
1990,Morelos,1195059,583785,611274
1990,Nayarit,824643,411057,413586
1990,Nuevo León,3098736,1542664,1556072
1990,Oaxaca,3019560,1477438,1542122
1990,Puebla,4126101,2008531,2117570
1990,Querétaro,1051235,516168,535067
1990,Quintana Roo,493277,254908,238369
1990,San Luis Potosí,2003187,987315,1015872
1990,Sinaloa,2204054,1101621,1102433
1990,Sonora,1823606,915088,908518
1990,Tabasco,1501744,749982,751762
1990,Tamaulipas,2249581,1111698,1137883
1990,Tlaxcala,761277,375130,386147
1990,Veracruz de Ignacio de la Llave,6228239,3077427,3150812
1990,Yucatán,1362940,673892,689048
1990,Zacatecas,1276323,623663,652660
1995,Aguascalientes,862720,422324,440396
1995,Baja California,2112140,1064591,1047549
1995,Baja California Sur,375494,191013,184481
1995,Campeche,642516,322991,319525
1995,Chiapas,3584786,1790580,1794206
1995,Chihuahua,2793537,1391914,1401623
1995,Ciudad de México,8489007,4075902,4413105
1995,Coahuila de Zaragoza,2173775,1080594,1093181
1995,Colima,488028,242787,245241
1995,Durango,1431748,709268,722480
1995,Estados Unidos Mexicanos,91158290,44900499,46257791
1995,Guanajuato,4406568,2139104,2267464
1995,Guerrero,2916567,1433417,1483150
1995,Hidalgo,2112473,1042566,1069907
1995,Jalisco,5991176,2923921,3067255
1995,México,11707964,5776054,5931910
1995,Michoacán de Ocampo,3870604,1884105,1986499
1995,Morelos,1442662,706081,736581
1995,Nayarit,896702,448629,448073
1995,Nuevo León,3550114,1773793,1776321
1995,Oaxaca,3228895,1582410,1646485
1995,Puebla,4624365,2253476,2370889
1995,Querétaro,1250476,615484,634992
1995,Quintana Roo,703536,361459,342077
1995,San Luis Potosí,2200763,1087500,1113263
1995,Sinaloa,2425675,1216415,1209260
1995,Sonora,2085536,1048933,1036603
1995,Tabasco,1748769,872243,876526
1995,Tamaulipas,2527328,1254700,1272628
1995,Tlaxcala,883924,435390,448534
1995,Veracruz de Ignacio de la Llave,6737324,3323880,3413444
1995,Yucatán,1556622,773435,783187
1995,Zacatecas,1336496,655540,680956
2000,Aguascalientes,944285,456533,487752
2000,Baja California,2487367,1252581,1234786
2000,Baja California Sur,424041,216250,207791
2000,Campeche,690689,344334,346355
2000,Chiapas,3920892,1941880,1979012
2000,Chihuahua,3052907,1519972,1532935
2000,Ciudad de México,8605239,4110485,4494754
2000,Coahuila de Zaragoza,2298070,1140195,1157875
2000,Colima,542627,268192,274435
2000,Durango,1448661,709521,739140
2000,Estados Unidos Mexicanos,97483412,47592253,49891159
2000,Guanajuato,4663032,2233315,2429717
2000,Guerrero,3079649,1491287,1588362
2000,Hidalgo,2235591,1081993,1153598
2000,Jalisco,6322002,3070241,3251761
2000,México,13096686,6407213,6689473
2000,Michoacán de Ocampo,3985667,1911078,2074589
2000,Morelos,1555296,750799,804497
2000,Nayarit,920185,456105,464080
2000,Nuevo León,3834141,1907939,1926202
2000,Oaxaca,3438765,1657406,1781359
2000,Puebla,5076686,2448801,2627885
2000,Querétaro,1404306,680966,723340
2000,Quintana Roo,874963,448308,426655
2000,San Luis Potosí,2299360,1120837,1178523
2000,Sinaloa,2536844,1264143,1272701
2000,Sonora,2216969,1110590,1106379
2000,Tabasco,1891829,934515,957314
2000,Tamaulipas,2753222,1359874,1393348
2000,Tlaxcala,962646,469948,492698
2000,Veracruz de Ignacio de la Llave,6908975,3355164,3553811
2000,Yucatán,1658210,818205,840005
2000,Zacatecas,1353610,653583,700027
2005,Aguascalientes,1065416,515364,550052
2005,Baja California,2844469,1431789,1412680
2005,Baja California Sur,512170,261288,250882
2005,Campeche,754730,373457,381273
2005,Chiapas,4293459,2108830,2184629
2005,Chihuahua,3241444,1610275,1631169
2005,Ciudad de México,8720916,4171683,4549233
2005,Coahuila de Zaragoza,2495200,1236880,1258320
2005,Colima,567996,280005,287991
2005,Durango,1509117,738095,771022
2005,Estados Unidos Mexicanos,103263388,50249955,53013433
2005,Guanajuato,4893812,2329136,2564676
2005,Guerrero,3115202,1499453,1615749
2005,Hidalgo,2345514,1125188,1220326
2005,Jalisco,6752113,3278822,3473291
2005,México,14007495,6832822,7174673
2005,Michoacán de Ocampo,3966073,1892377,2073696
2005,Morelos,1612899,775311,837588
2005,Nayarit,949684,469204,480480
2005,Nuevo León,4199292,2090673,2108619
2005,Oaxaca,3506821,1674855,1831966
2005,Puebla,5383133,2578664,2804469
2005,Querétaro,1598139,772759,825380
2005,Quintana Roo,1135309,574837,560472
2005,San Luis Potosí,2410414,1167308,1243106
2005,Sinaloa,2608442,1294617,1313825
2005,Sonora,2394861,1198154,1196707
2005,Tabasco,1989969,977785,1012184
2005,Tamaulipas,3024238,1493573,1530665
2005,Tlaxcala,1068207,517477,550730
2005,Veracruz de Ignacio de la Llave,7110214,3423379,3686835
2005,Yucatán,1818948,896562,922386
2005,Zacatecas,1367692,659333,708359
2010,Aguascalientes,1184996,576638,608358
2010,Baja California,3155070,1591610,1563460
2010,Baja California Sur,637026,325433,311593
2010,Campeche,822441,407721,414720
2010,Chiapas,4796580,2352807,2443773
2010,Chihuahua,3406465,1692545,1713920
2010,Ciudad de México,8851080,4233783,4617297
2010,Coahuila de Zaragoza,2748391,1364197,1384194
2010,Colima,650555,322790,327765
2010,Durango,1632934,803890,829044
2010,Estados Unidos Mexicanos,112336538,54855231,57481307
