Anio,EntidadFederativa,Poblacion_Total,Poblacion_Hombres,Poblacion_Mujeres
2020,Aguascalientes,1425607,696683,728924
2020,Baja California,3769020,1900589,1868431
2020,Baja California Sur,798447,405879,392568
2020,Campeche,928363,456939,471424
2020,Chiapas,5543828,2705947,2837881
2020,Chihuahua,3741869,1853822,1888047
2020,Ciudad de México,9209944,4404927,4805017
2020,Coahuila de Zaragoza,3146771,1563669,1583102
2020,Colima,731391,360622,370769
2020,Durango,1832650,904866,927784
2020,Estados Unidos Mexicanos,126014024,61473390,64540634
2020,Guanajuato,6166934,2996454,3170480
2020,Guerrero,3540685,1700612,1840073
2020,Hidalgo,3082841,1481379,1601462
2020,Jalisco,8348151,4098455,4249696
2020,México,16992418,8251295,8741123
2020,Michoacán de Ocampo,4748846,2306341,2442505
2020,Morelos,1971520,950847,1020673
2020,Nayarit,1235456,612278,623178
2020,Nuevo León,5784442,2890950,2893492
2020,Oaxaca,4132148,1974843,2157305
2020,Puebla,6583278,3160115,3423163
2020,Querétaro,2368467,1156820,1211647
2020,Quintana Roo,1857985,936779,921206
2020,San Luis Potosí,2822255,1372451,1449804
2020,Sinaloa,3026943,1494815,1532128
2020,Sonora,2944840,1472197,1472643
2020,Tabasco,2402598,1173671,1228927
2020,Tamaulipas,3527735,1736140,1791595
2020,Tlaxcala,1342977,649894,693083
2020,Veracruz de Ignacio de la Llave,8062579,3871774,4190805
2020,Yucatán,2320898,1140279,1180619
2020,Zacatecas,1622138,791058,831080
