Entidad federativa,Grupo quinquenal de edad,año,Hombres,Mujeres,Total
Aguascalientes,0 a 4 años,"1,990","49,576","48,437","98,013"
Aguascalientes,05 a 9 años,"1,990","49,742","48,416","98,158"
Aguascalientes,10 a 14 años,"1,990","47,751","47,220","94,971"
Aguascalientes,15 a 19 años,"1,990","42,735","45,015","87,750"
Aguascalientes,20 a 24 años,"1,990","32,248","37,329","69,577"
Aguascalientes,25 a 29 años,"1,990","26,182","29,478","55,660"
Aguascalientes,30 a 34 años,"1,990","21,920","24,913","46,833"
Aguascalientes,35 a 39 años,"1,990","18,255","19,872","38,127"
Aguascalientes,40 a 44 años,"1,990","13,962","15,430","29,392"
Aguascalientes,45 a 49 años,"1,990","11,650","12,138","23,788"
Aguascalientes,50 a 54 años,"1,990","8,523","9,570","18,093"
Aguascalientes,55 a 59 años,"1,990","7,045","7,860","14,905"
Aguascalientes,60 a 64 años,"1,990","6,059","6,976","13,035"
Aguascalientes,65 a 69 años,"1,990","4,755","5,336","10,091"
Aguascalientes,70 a 74 años,"1,990","3,191","3,540","6,731"
Aguascalientes,No especificado,"1,990","1,084","1,161","2,245"
Aguascalientes,75 años y más,"1,990","5,540","6,750","12,290"
Baja California,0 a 4 años,"1,990","102,769","100,062","202,831"
Baja California,05 a 9 años,"1,990","94,240","91,063","185,303"
Baja California,10 a 14 años,"1,990","90,526","89,902","180,428"
Baja California,15 a 19 años,"1,990","102,807","99,309","202,116"
Baja California,20 a 24 años,"1,990","92,536","91,646","184,182"
Baja California,25 a 29 años,"1,990","75,448","75,918","151,366"
Baja California,30 a 34 años,"1,990","60,562","62,121","122,683"
Baja California,35 a 39 años,"1,990","48,138","49,179","97,317"
Baja California,40 a 44 años,"1,990","35,438","36,328","71,766"
Baja California,45 a 49 años,"1,990","29,052","29,549","58,601"
Baja California,50 a 54 años,"1,990","23,536","23,922","47,458"
Baja California,55 a 59 años,"1,990","18,425","18,754","37,179"
Baja California,60 a 64 años,"1,990","15,152","15,617","30,769"
Baja California,65 a 69 años,"1,990","11,514","11,238","22,752"
Baja California,70 a 74 años,"1,990","7,171","7,249","14,420"
Baja California,No especificado,"1,990","16,131","16,092","32,223"
Baja California,75 años y más,"1,990","8,645","10,816","19,461"
Baja California Sur,0 a 4 años,"1,990","19,453","18,822","38,275"
Baja California Sur,05 a 9 años,"1,990","19,802","18,859","38,661"
Baja California Sur,10 a 14 años,"1,990","19,717","19,132","38,849"
Baja California Sur,15 a 19 años,"1,990","19,008","18,194","37,202"
Baja California Sur,20 a 24 años,"1,990","16,219","15,968","32,187"
Baja California Sur,25 a 29 años,"1,990","14,015","14,285","28,300"
Baja California Sur,30 a 34 años,"1,990","12,152","12,097","24,249"
Baja California Sur,35 a 39 años,"1,990","10,012","9,297","19,309"
Baja California Sur,40 a 44 años,"1,990","7,344","6,807","14,151"
Baja California Sur,45 a 49 años,"1,990","6,016","5,411","11,427"
Baja California Sur,50 a 54 años,"1,990","4,570","4,084","8,654"
Baja California Sur,55 a 59 años,"1,990","3,680","3,217","6,897"
Baja California Sur,60 a 64 años,"1,990","2,730","2,571","5,301"
Baja California Sur,65 a 69 años,"1,990","2,068","1,886","3,954"
Baja California Sur,70 a 74 años,"1,990","1,374","1,335","2,709"
Baja California Sur,No especificado,"1,990","1,783","1,721","3,504"
Baja California Sur,75 años y más,"1,990","1,890","2,245","4,135"
Campeche,0 a 4 años,"1,990","35,835","35,295","71,130"
Campeche,05 a 9 años,"1,990","36,495","35,733","72,228"
Campeche,10 a 14 años,"1,990","34,443","33,781","68,224"
Campeche,15 a 19 años,"1,990","30,303","30,543","60,846"
Campeche,20 a 24 años,"1,990","24,470","25,483","49,953"
Campeche,25 a 29 años,"1,990","20,214","21,432","41,646"
Campeche,30 a 34 años,"1,990","17,076","17,413","34,489"
Campeche,35 a 39 años,"1,990","15,436","15,581","31,017"
Campeche,40 a 44 años,"1,990","11,216","11,087","22,303"
Campeche,45 a 49 años,"1,990","9,739","9,009","18,748"
Campeche,50 a 54 años,"1,990","7,362","7,118","14,480"
Campeche,55 a 59 años,"1,990","6,016","5,766","11,782"
Campeche,60 a 64 años,"1,990","5,481","4,923","10,404"
Campeche,65 a 69 años,"1,990","3,746","3,429","7,175"
Campeche,70 a 74 años,"1,990","2,991","2,457","5,448"
Campeche,No especificado,"1,990","3,813","3,790","7,603"
Campeche,75 años y más,"1,990","4,136","3,573","7,709"
Chiapas,0 a 4 años,"1,990","246,575","242,773","489,348"
Chiapas,05 a 9 años,"1,990","248,484","244,050","492,534"
Chiapas,10 a 14 años,"1,990","222,491","215,744","438,235"
Chiapas,15 a 19 años,"1,990","179,226","185,550","364,776"
Chiapas,20 a 24 años,"1,990","140,236","150,710","290,946"
Chiapas,25 a 29 años,"1,990","116,953","125,892","242,845"
Chiapas,30 a 34 años,"1,990","93,918","95,150","189,068"
Chiapas,35 a 39 años,"1,990","85,577","87,017","172,594"
Chiapas,40 a 44 años,"1,990","61,690","60,615","122,305"
Chiapas,45 a 49 años,"1,990","53,861","52,241","106,102"
Chiapas,50 a 54 años,"1,990","41,531","39,016","80,547"
Chiapas,55 a 59 años,"1,990","30,533","28,470","59,003"
